,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Ribeira Grande,92,PT,1549237879,96,38.52,-28.7,62.76,20.83
1,Kodiak,1,US,1549236900,87,39.95,-94.76,60.98,10.29
2,Hilo,75,US,1549234380,73,19.71,-155.08,78.08,11.41
3,Tiksi,12,RU,1549237879,0,71.64,128.87,-36.2,4.94
4,Hofn,56,IS,1549237880,100,64.25,-15.21,29.78,5.73
5,Kahului,90,US,1549234560,76,20.89,-156.47,75.92,11.41
6,Honiara,76,SB,1549237608,100,-9.43,159.96,78.42,3.83
7,Young,32,UY,1549237880,68,-32.7,-57.63,70.59,9.42
8,Punta Arenas,0,CL,1549234800,35,-53.16,-70.91,69.8,19.46
9,Kapaa,20,US,1549234560,62,22.08,-159.32,78.98,16.11
10,Togul,0,RU,1549237881,0,53.47,85.91,-38.0,3.15
11,Sabang,88,PH,1549237882,100,13.72,123.58,75.77,13.44
12,Mataura,68,NZ,1549237882,49,-46.19,168.86,70.19,24.74
13,Omsukchan,36,RU,1549237882,70,62.53,155.8,-12.17,10.42
14,Saint George,75,GR,1549234200,93,39.45,22.34,55.4,2.59
15,Jamestown,0,AU,1549237772,43,-33.21,138.6,75.54,13.67
16,Gao,0,ML,1549237884,47,16.28,-0.04,65.19,6.4
17,Chokurdakh,36,RU,1549237884,52,70.62,147.9,-30.84,9.31
18,New Norfolk,40,AU,1549236600,63,-42.78,147.06,66.2,14.99
19,Rikitea,0,PF,1549237884,100,-23.12,-134.97,81.84,7.63
20,Bredasdorp,92,ZA,1549234800,88,-34.53,20.04,66.2,6.93
21,Butaritari,36,KI,1549237885,100,3.07,172.79,83.69,20.94
22,Ahipara,20,NZ,1549237885,74,-35.17,173.16,74.69,10.87
23,Chuy,20,UY,1549237886,80,-33.69,-53.46,66.23,10.2
24,Lorengau,92,PG,1549237886,100,-2.02,147.27,79.77,10.76
25,Qaanaaq,8,GL,1549237886,80,77.48,-69.36,-18.96,3.15
26,Cape Town,0,ZA,1549234800,93,-33.93,18.42,64.4,9.17
27,Mikun,32,RU,1549237887,63,62.35,50.08,-7.53,11.43
28,Vaini,0,IN,1549237887,62,15.34,74.49,65.33,6.96
29,Kandrian,68,PG,1549237888,76,-6.21,149.55,85.17,7.74
30,Port Alfred,76,ZA,1549237888,92,-33.59,26.89,68.34,11.43
31,Kavieng,88,PG,1549237888,100,-2.57,150.8,78.24,4.61
32,Mount Gambier,90,AU,1549234800,68,-37.83,140.78,66.2,17.22
33,Busselton,0,AU,1549237889,100,-33.64,115.35,63.39,18.92
34,Nikolskoye,90,RU,1549236600,96,59.7,30.79,33.8,4.47
35,Aviles,0,ES,1549234800,70,43.55,-5.92,42.8,6.93
36,Kolondieba,0,ML,1549237890,63,11.09,-6.89,68.75,2.71
37,Namatanai,68,PG,1549237890,100,-3.66,152.44,81.66,11.77
38,Saldanha,0,PT,1549237891,79,41.42,-6.55,22.58,2.59
39,Lavrentiya,48,RU,1549237891,90,65.58,-170.99,22.44,11.21
40,Bambanglipuro,68,ID,1549237891,95,-7.95,110.28,75.36,4.16
41,Talcahuano,90,CL,1549237260,93,-36.72,-73.12,59.0,4.7
42,Hamilton,40,BM,1549234500,82,32.3,-64.78,60.8,6.17
43,Salekhard,48,RU,1549237892,59,66.54,66.62,-19.55,6.29
44,Norman Wells,20,CA,1549234800,68,65.28,-126.83,-20.21,9.17
45,Kavaratti,0,IN,1549237893,100,10.57,72.64,82.79,8.19
46,Cidreira,88,BR,1549237893,75,-30.17,-50.22,70.41,9.53
47,Makakilo City,90,US,1549235460,69,21.35,-158.09,82.04,12.75
48,Hobart,40,AU,1549236600,63,-42.88,147.33,66.2,14.99
49,Pacific Grove,90,US,1549236600,79,36.62,-121.92,57.02,5.82
50,Atuona,12,PF,1549237895,100,-9.8,-139.03,79.59,14.79
51,Kisangani,76,CD,1549237895,91,0.52,25.21,75.32,2.15
52,Hambantota,24,LK,1549237896,100,6.12,81.12,78.24,14.56
53,Tignere,0,CM,1549237896,45,7.37,12.65,61.91,5.5
54,Pisco,0,PE,1549234800,30,-13.71,-76.2,71.6,20.8
55,Agnibilekrou,64,CI,1549237896,89,7.13,-3.2,74.46,4.5
56,Ushuaia,20,AR,1549234800,42,-54.81,-68.31,66.2,23.04
57,Kodinsk,20,RU,1549237897,92,58.6,99.18,-41.28,3.94
58,Provideniya,75,RU,1549236600,92,64.42,-173.23,26.6,13.42
59,Mar del Plata,0,AR,1549237795,47,-46.43,-67.52,72.89,7.07
60,Port Macquarie,0,AU,1549234800,54,-31.43,152.91,80.6,12.75
61,Ajdabiya,0,LY,1549237898,27,30.75,20.22,59.39,14.23
62,Lubumbashi,8,CD,1549237701,94,-11.66,27.48,58.76,0.92
63,Sao Filipe,68,CV,1549237899,99,14.9,-24.5,70.86,13.78
64,Pochutla,5,MX,1549233720,62,15.74,-96.47,84.2,8.05
65,Oistins,20,BB,1549234800,73,13.07,-59.53,77.0,8.05
66,Klaksvik,0,FO,1549236000,86,62.23,-6.59,30.2,11.65
67,Puerto Ayora,20,EC,1549234800,74,-0.74,-90.35,82.4,5.82
68,Zirandaro,0,MX,1549237900,18,18.45,-100.98,85.71,3.71
69,Quelimane,20,MZ,1549234800,94,-17.88,36.89,77.0,2.24
70,Acapulco,5,MX,1549234080,69,16.86,-99.88,82.4,11.41
71,Albany,75,US,1549235880,57,42.65,-73.75,44.06,11.41
72,Cooma,44,AU,1549234800,53,-36.24,149.13,75.2,5.82
73,Upernavik,0,GL,1549237902,94,72.79,-56.15,2.87,5.95
74,Reo,0,BF,1549237902,29,12.32,-2.47,74.33,10.65
75,Mae Hong Son,0,MM,1549237903,86,19.3,97.96,55.11,1.7
76,Kuching,75,MY,1549236600,100,1.56,110.34,77.0,1.12
77,Bluff,88,AU,1549237903,74,-23.58,149.07,77.66,14.12
78,Seydisehir,56,TR,1549237903,78,37.42,31.85,27.98,2.26
79,Saskylakh,44,RU,1549237904,83,71.97,114.09,-18.74,13.78
80,Meadow Lake,90,CA,1549234800,75,54.13,-108.44,-16.61,3.36
81,Karratha,8,AU,1549237904,75,-20.74,116.85,84.77,8.63
82,Daud Khel,20,PK,1549237905,76,32.58,71.54,41.57,3.15
83,Bathsheba,20,BB,1549234800,73,13.22,-59.52,77.0,8.05
84,Bela,24,PK,1549237905,94,26.23,66.31,43.19,2.71
85,Broome,64,GB,1549236000,91,52.47,1.45,41.18,10.29
86,Nantucket,1,US,1549236900,86,41.28,-70.1,37.94,6.93
87,Khatanga,76,RU,1549237906,61,71.98,102.47,-20.54,10.42
88,Iqaluit,75,CA,1549234800,77,63.75,-68.52,-2.21,3.36
89,Dikson,24,RU,1549237907,85,73.51,80.55,-8.61,11.77
90,Methven,0,NZ,1549237907,50,-43.63,171.65,75.86,6.73
91,Port Hardy,75,CA,1549234800,58,50.7,-127.42,24.8,19.46
92,Paamiut,48,GL,1549237908,100,61.99,-49.67,26.9,22.84
93,Umm Lajj,0,SA,1549237908,100,25.02,37.27,60.2,4.16
94,Eldorado,90,MX,1549233600,51,24.32,-107.36,80.6,13.87
95,Sola,75,NO,1549236000,74,58.89,5.65,37.4,17.22
96,Hermanus,88,ZA,1549237909,97,-34.42,19.24,62.99,2.59
97,Ulaanbaatar,36,MN,1549236600,61,47.92,106.92,-23.81,2.24
98,Hami,80,CN,1549237910,76,42.84,93.51,13.67,4.94
99,Svetlaya,56,RU,1549237910,100,46.54,138.33,19.52,22.28
100,Porto Murtinho,8,BR,1549237911,63,-21.7,-57.88,84.36,11.77
101,Saint-Philippe,90,CA,1549237620,85,45.36,-73.48,19.76,11.41
102,Kruisfontein,92,ZA,1549237911,93,-34.0,24.73,68.12,15.9
103,Esperance,20,TT,1549234800,69,10.24,-61.45,78.8,8.05
104,Port Lincoln,44,AU,1549237912,85,-34.72,135.86,69.11,19.82
105,Hirara,75,JP,1549234800,94,24.8,125.28,69.8,2.24
106,Yuli,8,NG,1549237913,54,10.52,9.86,63.08,2.82
107,Ilulissat,0,GL,1549234200,40,69.22,-51.1,17.6,11.41
108,Korsakov,75,RU,1549236600,100,46.63,142.78,21.2,2.24
109,Kungurtug,24,RU,1549237914,51,50.6,97.53,-14.19,7.96
110,Okrisky,90,CZ,1549234800,94,49.25,15.77,32.0,13.87
111,Solnechnyy,56,RU,1549237915,69,50.72,136.64,-1.82,5.06
112,Rafraf,75,TN,1549234800,76,37.19,10.18,48.2,8.05
113,Hithadhoo,12,MV,1549237916,98,-0.6,73.08,83.96,10.31
114,Sao Felix do Xingu,12,BR,1549237917,93,-6.64,-51.99,76.85,2.04
115,Kedrovyy,0,RU,1549236600,71,56.17,91.82,-45.41,2.59
116,Minnedosa,90,CA,1549234800,69,50.25,-99.84,-11.21,17.22
117,Cherskiy,0,RU,1549237918,74,68.75,161.3,-16.85,7.4
118,Kysyl-Syr,68,RU,1549237918,48,63.9,122.77,-29.72,5.39
119,Souillac,0,FR,1549234800,92,45.6,-0.6,30.2,3.49
120,Tuatapere,36,NZ,1549237919,72,-46.13,167.69,65.78,23.96
121,Bambous Virieux,75,MU,1549234800,88,-20.34,57.76,80.6,2.24
122,Castro,0,CL,1549234800,27,-42.48,-73.76,86.0,5.82
123,Hermon,92,GB,1549234200,81,51.96,-4.61,46.4,32.21
124,Panjab,92,AF,1549237920,92,34.38,67.02,17.72,2.48
125,Katsuura,75,JP,1549234800,66,33.93,134.5,57.2,19.46
126,Toora-Khem,32,RU,1549237920,73,52.47,96.11,-19.68,2.48
127,Oxbow,90,CA,1549236360,69,49.23,-102.17,-9.41,10.09
128,Mazatlan,75,MX,1549233600,65,23.22,-106.42,78.8,10.29
129,Severo-Kurilsk,44,RU,1549237921,100,50.68,156.12,27.66,15.68
130,Guerrero Negro,80,MX,1549237922,87,27.97,-114.04,64.25,10.09
131,Suntar,36,RU,1549237922,61,62.16,117.65,-33.95,4.94
132,Marawi,20,PH,1549237922,91,8.0,124.29,71.76,3.04
133,Isangel,75,VU,1549234800,74,-19.55,169.27,84.2,3.36
134,Haukipudas,88,FI,1549237923,100,65.17,25.5,14.75,17.36
135,Luderitz,0,NA,1549237923,74,-26.65,15.16,61.77,19.04
136,Naryan-Mar,0,RU,1549237924,36,67.67,53.09,-23.33,8.75
137,Puri,20,ID,1549234800,100,-7.54,112.45,77.0,5.82
138,Itarema,24,BR,1549237924,95,-2.92,-39.92,77.21,6.85
139,Dryden,76,CA,1549234800,77,49.79,-92.84,1.4,10.29
140,Morant Bay,40,JM,1549234800,61,17.88,-76.41,80.6,11.41
141,Margate,40,AU,1549236600,63,-43.03,147.26,66.2,14.99
142,Nortelandia,8,BR,1549237926,87,-14.45,-56.8,78.11,3.71
143,Ullapool,80,GB,1549237926,100,57.9,-5.16,42.29,8.75
144,Dolores,0,AR,1549237870,57,-36.31,-57.68,62.99,10.09
145,Sillamae,68,EE,1549237927,98,59.4,27.75,30.86,9.98
146,Fortuna,0,ES,1549234800,36,38.18,-1.13,46.4,5.82
147,Arraial do Cabo,40,BR,1549234800,83,-22.97,-42.02,78.8,12.75
148,Ende,24,ID,1549237928,100,-8.84,121.65,80.36,3.49
149,Vestmannaeyjar,76,IS,1549237929,100,63.44,-20.27,30.23,5.61
150,Torbay,90,CA,1549234800,78,47.66,-52.73,15.8,27.51
151,Soyo,76,AO,1549237929,93,-6.13,12.37,79.64,5.73
152,Ponta do Sol,36,BR,1549237930,72,-20.63,-46.0,76.17,3.71
153,Salalah,20,OM,1549234200,73,17.01,54.1,71.6,4.7
154,Kudahuvadhoo,12,MV,1549237930,99,2.67,72.89,82.7,15.23
155,Kuusamo,90,FI,1549236000,77,65.96,29.19,-0.41,12.75
156,Owando,36,CG,1549237931,93,-0.49,15.91,75.54,1.92
157,Zhanaozen,24,KZ,1549237931,85,43.35,52.85,19.7,6.51
158,Narsaq,76,GL,1549234200,85,60.91,-46.05,21.2,1.7
159,Lebu,0,ET,1549237932,71,8.96,38.73,37.74,2.59
160,Putina,90,PE,1549234800,66,-14.91,-69.87,50.0,3.36
161,Laguna,75,MX,1549233720,41,27.52,-110.01,77.0,3.36
162,Det Udom,20,TH,1549234800,83,14.9,105.08,71.6,2.24
163,Koson,20,UZ,1549236600,87,39.04,65.59,48.2,3.49
164,Geraldton,90,CA,1549234800,77,49.72,-86.95,1.4,8.05
165,Jalingo,0,NG,1549237933,41,10.21,12.82,64.74,5.73
166,Waipawa,0,NZ,1549237934,58,-39.94,176.59,76.71,3.15
167,East London,0,ZA,1549237934,100,-33.02,27.91,70.82,21.05
168,Airai,36,TL,1549237934,83,-8.93,125.41,76.13,1.59
169,Saint-Pierre,0,FR,1549234800,92,48.95,4.24,30.2,4.7
170,Panzhihua,0,CN,1549237935,60,26.59,101.72,35.18,2.59
171,Nemuro,90,JP,1549236600,100,43.32,145.57,28.4,9.17
172,Adrar,0,DZ,1549234800,31,27.87,-0.29,46.4,5.82
173,Fort-Shevchenko,76,KZ,1549237936,100,44.51,50.26,28.52,10.87
174,Cap Malheureux,75,MU,1549234800,88,-19.98,57.61,80.6,2.24
175,Kaitangata,80,NZ,1549237937,50,-46.28,169.85,71.22,16.02
176,Bonoua,20,CI,1549234800,88,5.27,-3.6,82.4,6.93
177,Yellowknife,40,CA,1549234800,66,62.45,-114.38,-29.21,3.36
178,Katangli,48,RU,1549237938,100,51.71,143.23,8.81,13.11
179,San Andres,88,PH,1549237938,100,13.32,122.68,76.04,11.1
180,Kalmunai,92,LK,1549237939,100,7.42,81.82,73.25,3.71
181,Khandagayty,0,MN,1549237939,80,50.73,92.07,-22.16,3.15
182,Mackenzie,20,CA,1549234800,43,55.34,-123.09,-5.81,14.99
183,Prince Rupert,1,CA,1549234800,27,54.32,-130.32,23.0,16.11
184,Whitehorse,75,CA,1549234800,63,60.72,-135.06,-11.21,18.34
185,Okha,20,RU,1549237940,76,53.59,142.95,-11.76,4.94
186,Ipameri,8,BR,1549237940,67,-17.72,-48.16,76.71,4.16
187,Palmer,40,AU,1549236600,56,-34.85,139.16,71.6,19.46
188,Husavik,88,CA,1549237941,85,50.56,-96.99,-6.18,15.46
189,Thompson,75,CA,1549234800,68,55.74,-97.86,-14.81,6.93
190,Barrow,0,AR,1549237942,69,-38.31,-60.23,63.08,7.18
191,Thinadhoo,12,MV,1549237942,100,0.53,72.93,82.97,14.0
192,Codrington,75,AU,1549235640,74,-28.95,153.24,84.2,2.24
193,Aleppo,0,SY,1549237943,81,36.2,37.17,34.19,2.71
194,Bethel,90,US,1549237080,100,60.79,-161.76,30.2,10.29
195,Bras-Panon,75,RE,1549236600,73,-21.0,55.68,77.0,4.7
196,Guia de Isora,20,ES,1549236600,63,28.21,-16.78,60.8,14.99
197,Rorvik,64,NO,1549237944,100,64.86,11.24,16.01,17.25
198,Nouadhibou,80,MR,1549234800,72,20.93,-17.03,62.6,19.46
199,Georgetown,75,GY,1549234800,78,6.8,-58.16,80.6,11.41
200,Ancud,0,CL,1549234800,27,-41.87,-73.83,86.0,5.82
201,Lemon Tree Passage,0,AU,1549236600,54,-32.73,152.04,82.4,8.05
202,Lake City,90,US,1549236900,64,38.03,-107.32,37.4,12.75
203,Moate,32,IE,1549237946,95,53.4,-7.72,48.32,17.58
204,Santa Cruz,90,US,1549236600,76,36.97,-122.03,57.2,8.05
205,Parkes,8,AU,1549237948,39,-33.14,148.18,87.69,10.65
206,Borogontsy,76,RU,1549237948,46,62.67,131.17,-29.04,3.83
207,Oranjemund,0,ZA,1549237948,95,-28.55,16.43,63.84,21.27
208,Portland,90,US,1549233540,78,45.52,-122.67,48.02,3.36
209,Kichera,12,RU,1549237949,61,55.93,110.1,-35.48,3.94
210,Namibe,12,AO,1549237949,100,-15.19,12.15,77.79,6.85
211,Avera,1,US,1549236900,82,33.19,-82.53,60.08,4.7
212,Port Blair,0,IN,1549237950,99,11.67,92.75,82.7,11.88
213,Ormara,48,PK,1549237950,98,25.21,64.64,67.04,14.79
214,Teknaf,0,BD,1549237950,76,20.86,92.31,60.87,6.4
215,Saint-Francois,0,FR,1549234800,92,46.42,3.91,30.2,1.12
216,Petropavlovka,24,RU,1549237951,44,50.61,105.32,-29.81,2.71
217,Maraba,20,BR,1549234800,88,-5.35,-49.1,78.8,3.36
218,Necochea,0,AR,1549237952,78,-38.55,-58.74,58.22,6.62
219,Nombre de Dios,40,MX,1549234260,16,23.85,-104.24,73.4,9.17
220,Vao,80,EE,1549237953,93,59.1,26.19,31.22,9.19
221,Ocampo,88,PH,1549237953,100,13.56,123.37,75.77,13.44
222,Clyde River,1,CA,1549236960,76,70.47,-68.59,-11.21,23.04
223,Vadso,20,NO,1549236000,83,70.07,29.75,12.2,11.41
224,Tuktoyaktuk,75,CA,1549234800,76,69.44,-133.03,-9.41,13.87
225,Kidal,24,ML,1549237955,30,18.44,1.41,62.04,9.98
226,Carnarvon,0,ZA,1549237955,65,-30.97,22.13,59.61,11.65
227,Isla Vista,90,US,1549236300,93,34.41,-119.86,57.02,6.93
228,Novoorsk,0,RU,1549234800,69,51.38,58.98,-9.41,6.71
229,Galiakot,0,IN,1549237956,68,23.54,74.01,62.76,10.42
230,Mahebourg,75,MU,1549234800,88,-20.41,57.7,80.6,2.24
231,Raudeberg,92,NO,1549236000,59,61.99,5.14,35.6,17.22
232,Komsomolskiy,0,RU,1549237859,0,67.55,63.78,-34.4,3.15
233,Aracuai,8,BR,1549237957,36,-16.85,-42.07,84.27,7.74
234,Moerai,92,PF,1549237957,100,-22.43,-151.33,80.09,25.75
235,Sibolga,76,ID,1549237957,100,1.74,98.78,69.06,1.92
236,Teya,75,MX,1549234020,55,21.05,-89.07,86.0,6.93
237,Nuuk,12,GL,1549234200,35,64.17,-51.74,26.6,12.75
238,Aljezur,0,PT,1549237958,100,37.31,-8.8,49.49,8.52
239,Saint-Denis,8,FR,1549234800,92,48.94,2.36,32.0,1.12
240,Westport,0,IE,1549237959,96,53.8,-9.52,46.07,19.15
241,Puerto Colombia,20,CO,1549234800,74,10.99,-74.96,78.8,17.22
242,Kirakira,56,SB,1549237960,100,-10.46,161.92,78.96,11.32
243,Alugan,0,PH,1549237960,91,12.22,125.48,79.01,14.23
244,Bud,12,NO,1549236000,92,62.91,6.91,30.2,9.17
245,Sinnamary,92,GF,1549237789,93,5.38,-52.96,80.22,13.78
246,Longyearbyen,75,NO,1549234200,68,78.22,15.63,28.4,3.36
247,Tadine,80,NC,1549237961,95,-21.55,167.88,79.28,18.25
248,Normandin,90,CA,1549234800,77,48.84,-72.53,-2.21,3.36
249,Atar,56,MR,1549237962,37,20.52,-13.05,55.61,6.29
250,Gouyave,20,GD,1549234800,83,12.16,-61.73,77.0,11.41
251,Krasnogvardeyets,0,RU,1549237963,98,46.16,39.17,35.72,7.74
252,San Cristobal,75,EC,1549234800,77,-0.39,-78.55,62.6,9.17
253,Honningsvag,0,NO,1549237963,100,70.98,25.97,13.13,14.9
254,Beaune,0,FR,1549234800,80,47.02,4.84,33.8,8.05
255,Mikhaylovka,32,RU,1549237964,79,52.96,103.29,-19.01,5.06
256,Ankang,92,CN,1549237964,90,32.73,108.99,30.68,1.81
257,Hay River,20,CA,1549234800,68,60.82,-115.79,-20.21,8.05
258,Adre,100,TD,1549237965,32,13.47,22.2,73.92,5.95
259,Markivka,88,UA,1549237965,99,49.52,39.57,29.91,8.08
260,Superior,90,US,1549236180,79,47.19,-114.89,21.02,21.92
261,Blyth,75,GB,1549234200,87,55.12,-1.5,42.8,10.29
262,La Reforma,75,GT,1549234800,55,14.8,-91.82,86.0,9.17
263,Luanda,75,AO,1549234800,83,-8.83,13.24,80.6,11.41
264,Nexo,32,DK,1549236000,74,55.06,15.13,33.8,8.05
265,Saiha,0,IN,1549237967,90,22.49,92.98,47.46,1.92
266,Dodge City,1,US,1549234440,28,37.75,-100.02,68.0,12.75
267,Te Anau,36,NZ,1549237882,58,-45.41,167.72,62.63,15.23
268,Moron,0,VE,1549237968,65,10.49,-68.2,72.89,2.71
269,Lujan,0,AR,1549237968,23,-46.57,-67.67,81.35,11.65
270,Saint Anthony,90,US,1549236780,92,43.97,-111.68,37.04,9.17
271,Zhigalovo,36,RU,1549237969,42,54.81,105.15,-28.55,2.71
272,Meulaboh,36,ID,1549237969,100,4.14,96.13,78.87,3.83
273,Greenwood,92,US,1549236900,32,32.03,-101.9,75.02,11.41
274,Fairbanks,1,US,1549234680,86,64.84,-147.72,8.06,8.97
275,Yuci,12,CN,1549236600,52,37.68,112.73,15.8,4.47
276,Loiza,20,PR,1549234560,79,18.43,-65.88,77.0,10.29
277,Enkhuizen,24,NL,1549236300,97,52.7,5.29,37.4,13.87
