,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
278,Bubaque,0,GW,1549237971,100,11.28,-15.83,76.17,10.65
279,Mayo,75,CA,1549234800,60,63.59,-135.9,-25.61,3.38
280,Tubmanburg,32,LR,1549237972,88,6.87,-10.82,77.66,7.96
281,Wanaka,0,NZ,1549237972,32,-44.7,169.14,70.1,5.06
282,Tautira,75,PF,1549236600,74,-17.73,-149.15,86.0,13.87
283,Sao Miguel,76,BR,1549237973,84,4.52,-61.01,70.86,2.59
284,Neiafu,20,TO,1549234800,66,-18.65,-173.98,84.2,10.29
285,Road Town,40,VG,1549234800,73,18.42,-64.62,77.0,9.17
286,Livramento,40,BR,1549234800,88,-3.03,-60.18,78.8,3.36
287,Svirstroy,92,RU,1549237974,82,60.8,33.72,26.09,11.32
288,Bemidji,90,US,1549236960,74,47.48,-94.89,12.92,8.05
289,La Rioja,8,AR,1549237974,61,-29.41,-66.86,72.12,3.38
290,Port Elizabeth,1,US,1549234560,69,39.31,-74.98,39.02,4.7
291,Eyl,92,SO,1549237975,100,7.98,49.82,72.8,14.23
292,Finnsnes,64,NO,1549236000,52,69.23,17.98,19.4,11.41
293,Bridlington,88,GB,1549236000,93,54.08,-0.19,39.2,16.11
294,Isla Mujeres,75,MX,1549233840,74,21.23,-86.73,78.8,9.17
295,Warwick,20,US,1549234560,75,41.7,-71.42,41.0,9.17
296,Faya,0,SA,1549234800,71,18.39,42.45,53.6,2.15
297,America Dourada,48,BR,1549237979,91,-11.46,-41.44,69.29,1.92
298,San Policarpo,0,PH,1549237979,91,12.18,125.51,79.01,14.23
299,Avarua,90,CK,1549234800,88,-21.21,-159.78,78.8,4.7
300,Sterling,1,US,1549236900,66,39.0,-77.4,51.62,4.7
301,Makokou,92,GA,1549237980,100,0.56,12.85,70.01,2.59
302,Ojinaga,40,US,1549236900,22,29.56,-104.41,76.82,4.16
303,Cabo San Lucas,75,MX,1549233780,78,22.89,-109.91,77.0,2.24
304,Pangnirtung,36,CA,1549237981,69,66.15,-65.72,1.56,8.3
305,Biak,0,ID,1549237981,93,-0.91,122.88,81.35,3.15
306,Hasaki,20,JP,1549236600,66,35.73,140.83,53.6,9.17
307,Russell,40,AR,1549234800,73,-33.01,-68.8,71.6,8.05
308,Gamba,0,CN,1549237982,21,28.28,88.52,-25.08,2.71
309,Abha,0,SA,1549234800,71,18.22,42.5,53.6,1.7
310,Trifesti,90,RO,1549234800,93,47.45,27.52,41.0,13.87
311,Kutum,0,SD,1549237983,54,14.2,24.66,56.46,6.51
312,Cherdyn,44,RU,1549237984,73,60.4,56.48,-10.68,4.61
313,Nago,40,IT,1549236000,93,45.88,10.89,41.0,2.24
314,Chuzhou,0,CN,1549237984,69,32.25,118.33,27.21,5.73
315,Marystown,12,CA,1549237985,100,47.17,-55.16,16.14,25.75
316,Wilmington Island,90,US,1549236360,87,32.0,-80.97,59.18,11.65
317,Kindu,36,CD,1549237985,94,-2.95,25.92,72.08,2.04
318,Aklavik,75,CA,1549234800,58,68.22,-135.01,-4.01,6.93
319,Xining,8,CN,1549237986,46,36.62,101.77,3.95,4.38
320,Rocha,0,UY,1549237986,64,-34.48,-54.34,63.98,8.08
321,La Ligua,0,CL,1549234800,82,-32.45,-71.23,64.4,9.17
322,Kalianget,20,ID,1549236600,88,-7.35,109.91,77.0,3.04
323,Mundi,8,IN,1549237987,53,32.37,76.01,34.46,3.15
324,Launceston,0,AU,1549236600,46,-41.43,147.14,73.4,11.41
325,Treinta y Tres,12,UY,1549237988,61,-33.23,-54.39,67.13,11.54
326,Half Moon Bay,75,US,1549237200,76,37.46,-122.43,57.92,13.87
327,Salinas,75,US,1549237380,77,36.67,-121.66,57.02,14.99
328,Tura,0,IN,1549237989,78,25.52,90.21,48.14,1.7
329,Wanning,75,AT,1549236000,97,48.64,13.53,32.0,14.99
330,The Valley,20,AI,1549234800,73,18.22,-63.06,77.0,8.05
331,Varzea Grande,0,BR,1549234800,73,-29.42,-50.86,69.8,6.93
332,Polovinnoye,80,RU,1549237990,82,54.79,65.99,-1.59,10.31
333,Namtsy,68,RU,1549236600,66,62.72,129.66,-29.21,6.71
334,Turinsk,68,RU,1549237991,68,58.04,63.7,-8.93,6.62
335,Talnakh,0,RU,1549237991,54,69.49,88.39,-31.34,6.29
336,Morondava,24,MG,1549237991,100,-20.3,44.28,78.11,1.25
337,Rawlins,1,US,1549236900,69,41.79,-107.24,35.06,19.46
338,Harper,1,US,1549236900,65,30.3,-99.24,71.96,9.17
339,Kuytun,32,RU,1549237992,69,54.34,101.51,-24.32,4.38
340,Ust-Shonosha,88,RU,1549237993,75,61.15,41.34,7.77,13.89
341,Poddorye,92,RU,1549237993,97,57.47,31.12,35.09,10.65
342,Hervey Bay,40,AU,1549234800,58,-25.3,152.85,84.2,14.99
343,Harboore,12,DK,1549236000,92,56.62,8.18,28.4,5.82
344,Barcelos,0,PT,1549234800,86,41.53,-8.62,39.2,3.36
345,Vila Franca do Campo,75,PT,1549234800,88,37.72,-25.43,62.6,12.75
346,Catumbela,8,AO,1549237995,94,-12.43,13.55,65.91,2.48
347,Flinders,0,AU,1549234800,65,-34.58,150.85,80.6,8.05
348,Santa Cruz Cabralia,20,BR,1549234800,78,-16.28,-39.02,80.6,9.17
349,Blackfoot,75,US,1549234380,67,43.19,-112.35,41.0,20.8
350,Tateyama,75,JP,1549234800,87,36.66,137.31,48.2,3.36
351,Tyrma,0,RU,1549237997,50,50.04,132.17,-18.24,8.19
352,Litovko,0,RU,1549237997,48,49.24,135.18,-2.54,10.42
353,Oussouye,24,SN,1549234800,77,12.49,-16.54,69.8,2.24
354,Seoul,1,KR,1549236600,73,37.57,126.98,29.84,3.36
355,Yar-Sale,8,RU,1549237998,42,66.83,70.83,-26.16,12.88
356,Rexburg,90,US,1549236780,92,43.82,-111.79,37.04,9.17
357,Alice Springs,0,AU,1549236600,38,-23.7,133.88,87.8,11.41
358,Salinopolis,76,BR,1549237999,97,-0.61,-47.36,80.94,8.75
359,Bay Roberts,90,CA,1549234800,78,47.58,-53.28,15.8,27.51
360,Ippy,44,CF,1549237999,63,6.26,21.2,79.77,2.71
361,Kaeo,44,NZ,1549237999,74,-35.1,173.78,73.79,11.65
362,Rafaela,0,AR,1549237913,60,-31.25,-61.49,68.3,8.63
363,Turbat,92,PK,1549238000,95,26.0,63.05,57.95,5.06
364,Cassilandia,12,BR,1549238000,71,-19.11,-51.73,76.04,5.73
365,Waddan,76,LY,1549238001,69,29.16,16.14,50.66,7.07
366,Verkhnyaya Pyshma,75,RU,1549236600,69,56.97,60.57,-9.41,8.95
367,Wapakoneta,1,US,1549238100,81,40.57,-84.19,50.0,4.7
368,Coihueco,20,CL,1549234800,38,-36.63,-71.83,87.8,9.17
369,Presidencia Roque Saenz Pena,92,AR,1549238002,75,-26.79,-60.44,75.36,11.43
370,Snasa,80,NO,1549238002,72,64.25,12.38,5.39,2.93
371,Olinda,75,EC,1549234800,74,-2.03,-79.75,82.4,6.93
372,Vuktyl,0,RU,1549238003,40,63.86,57.31,-26.03,2.37
373,Ponta Delgada,75,PT,1549234800,88,37.73,-25.67,62.6,12.75
374,Requena,0,ES,1549234800,29,39.49,-1.1,48.2,12.75
375,Challapata,56,BO,1549238004,92,-18.9,-66.78,40.4,3.04
376,Chapais,90,CA,1549237740,84,49.78,-74.86,3.2,9.17
377,Konstancin-Jeziorna,75,PL,1549236600,100,52.08,21.12,35.6,6.93
378,Malanje,68,AO,1549237969,96,-9.54,16.35,68.84,4.27
379,Rafsanjan,0,IR,1549238005,30,30.4,55.99,32.79,7.74
380,College,1,US,1549234680,86,64.86,-147.8,10.04,8.97
381,Uray,36,RU,1549238005,66,60.13,64.8,-21.89,6.62
382,Victoria,75,BN,1549236600,100,5.28,115.24,77.0,2.37
383,Yulara,0,AU,1549234800,23,-25.24,130.99,87.8,14.99
384,Chateaubelair,40,VC,1549234800,78,13.28,-61.25,78.8,10.29
385,Lakefield,90,CA,1549237260,100,44.42,-78.27,39.2,3.36
386,Ayan,0,TR,1549238007,70,40.67,33.6,19.7,1.7
387,Tapejara,56,BR,1549238007,64,-23.73,-52.87,81.26,7.74
388,Camacha,40,PT,1549234800,62,33.08,-16.33,60.8,14.99
389,Bantou,80,CN,1549238008,100,26.22,117.49,54.62,2.71
390,Nome,90,US,1549236900,93,30.04,-94.42,65.84,6.93
391,Zabid,0,YE,1549238009,84,14.2,44.5,40.22,1.36
392,Lompoc,90,US,1549237080,93,34.64,-120.46,55.94,5.82
393,Lagoa,0,PT,1549234800,65,37.14,-8.45,44.6,5.82
394,Aksarka,32,RU,1549238010,34,66.56,67.8,-22.11,11.21
395,Plettenberg Bay,88,ZA,1549238010,99,-34.05,23.37,67.85,15.23
396,Muros,0,ES,1549234800,86,42.77,-9.06,41.0,4.7
397,Kupang,40,ID,1549236600,83,-10.16,123.6,82.4,4.7
398,Banjar,32,ID,1549238011,95,-7.37,108.54,71.99,3.15
399,Ketchikan,1,US,1549234560,34,55.34,-131.65,28.04,19.46
400,Dourbali,0,TD,1549238012,40,11.81,15.86,71.67,6.73
401,Puerto Escondido,5,MX,1549233720,62,15.86,-97.07,84.2,8.05
402,Seydi,0,NE,1549238012,54,13.34,7.75,63.39,3.38
403,Hailar,8,CN,1549238013,55,49.2,119.7,-33.23,3.38
404,Qaqortoq,8,GL,1549234200,85,60.72,-46.03,21.2,8.19
405,Alyangula,75,AU,1549236720,78,-13.85,136.42,82.4,18.34
406,Beitbridge,0,ZA,1549238014,63,-22.21,29.99,73.79,7.18
407,Buala,92,SB,1549238014,100,-8.15,159.59,74.78,6.62
408,Tarija,90,BO,1549234800,82,-21.53,-64.73,60.8,4.7
409,Santona,0,ES,1549234800,100,43.44,-3.46,37.4,1.12
410,Boshnyakovo,80,RU,1549238015,96,49.65,142.17,8.99,7.85
411,Sitka,0,US,1549238015,40,37.17,-99.65,62.27,9.08
412,Steinbach,90,CA,1549235400,63,49.53,-96.69,-5.81,18.34
413,Mattru,0,SL,1549238016,73,7.62,-11.83,79.59,6.06
414,Camacari,20,BR,1549234800,78,-12.7,-38.32,82.4,16.11
415,Mahoba,0,IN,1549238017,78,25.29,79.88,52.28,2.82
416,Gazli,32,UZ,1549238017,82,40.13,63.45,40.13,8.52
417,Sioux Lookout,90,CA,1549234800,71,50.1,-91.92,3.2,6.93
418,Zhigansk,32,RU,1549238018,76,66.77,123.37,-37.55,6.4
419,Sayyan,36,YE,1549238018,81,15.17,44.32,40.94,1.36
420,Kununurra,0,AU,1549236600,78,-15.77,128.74,82.4,4.7
421,Pau Brasil,8,BR,1549238019,70,-15.46,-39.65,79.73,11.77
422,Leningradskiy,76,RU,1549238019,81,69.38,178.42,-1.59,14.67
423,Okhotsk,68,RU,1549238019,100,59.36,143.24,7.01,5.61
424,Bulgan,0,MN,1549238020,44,48.81,103.53,-9.38,10.76
425,Zaysan,24,KZ,1549238020,51,47.47,84.87,-5.96,1.92
426,Carndonagh,92,IE,1549238020,93,55.25,-7.27,47.51,26.08
427,Bongandanga,68,CD,1549238021,94,1.51,21.07,72.84,3.38
428,Padang,40,ID,1549234800,94,-0.92,100.36,75.2,1.12
429,Buraydah,0,SA,1549234800,76,26.33,43.97,53.6,6.93
430,Nhulunbuy,75,AU,1549236600,83,-12.18,136.78,80.6,12.75
431,Cayenne,20,GF,1549236600,83,4.94,-52.33,78.8,3.36
432,Pevek,32,RU,1549238022,92,69.7,170.27,-11.13,16.69
433,Misratah,92,LY,1549238023,80,32.38,15.09,56.6,15.01
434,Caravelas,0,BR,1549238023,100,-17.73,-39.27,81.98,18.25
435,Boa Vista,75,BR,1549234800,48,2.82,-60.67,87.8,6.93
436,Paramonga,12,PE,1549238024,98,-10.68,-77.82,72.98,10.54
437,Yeppoon,75,AU,1549236600,61,-23.13,150.74,82.4,16.11
438,Vallenar,0,CL,1549238025,75,-28.58,-70.76,72.8,2.15
439,Grindavik,75,IS,1549236600,100,63.84,-22.43,24.8,4.7
440,Quatre Cocos,75,MU,1549234800,88,-20.21,57.76,80.6,2.24
441,Springdale,75,US,1549237380,67,36.19,-94.13,64.4,21.92
442,Cabedelo,90,BR,1549236300,100,-6.97,-34.84,77.0,5.82
443,Bintulu,75,MY,1549234800,100,3.17,113.03,75.2,2.24
444,Pontes e Lacerda,0,BR,1549238027,86,-15.23,-59.33,76.67,3.71
445,Shimoda,90,JP,1549236240,100,34.7,138.93,60.8,4.7
446,Juneau,20,US,1549234560,33,58.3,-134.42,23.0,4.7
447,Kaniama,44,CD,1549238028,97,-7.57,24.18,67.67,2.37
448,Terracina,80,IT,1549238028,100,41.29,13.25,45.12,4.72
449,Tawang,0,BT,1549238028,68,27.59,91.87,23.03,1.03
450,Dunedin,0,NZ,1549237769,58,-45.87,170.5,72.57,3.27
451,Hanstholm,48,DK,1549238029,92,57.12,8.61,37.7,12.1
452,Taoudenni,20,ML,1549238030,23,22.68,-3.98,57.36,14.23
453,Haines Junction,32,CA,1549238030,61,60.75,-137.51,-15.5,2.48
454,Shitanjing,0,CN,1549238030,56,39.23,106.34,12.36,4.94
455,Manono,64,CD,1549238031,93,-7.3,27.4,66.81,2.59
456,Kikugawa,20,JP,1549234800,71,34.76,138.09,57.2,21.92
457,Bastia,0,IT,1549236000,100,44.6,8.98,51.8,18.34
458,Winnemucca,44,US,1549237924,94,40.97,-117.74,36.35,6.51
459,Atambua,92,ID,1549238032,100,-9.11,124.89,75.05,3.38
460,Tottori,75,JP,1549236600,100,35.5,134.23,51.8,8.05
461,Qasigiannguit,0,GL,1549234200,40,68.82,-51.19,17.6,11.41
462,Yarim,0,YE,1549238033,84,14.3,44.38,40.22,1.36
463,Zhezkazgan,24,KZ,1549238033,53,47.8,67.71,-0.33,7.63
464,Tasiilaq,92,GL,1549234200,41,65.61,-37.64,21.2,13.87
465,Aranos,0,NA,1549238034,26,-24.14,19.11,67.89,6.85
466,Atengo,0,MX,1549238034,36,20.18,-99.33,67.31,4.38
467,Goundam,8,ML,1549238034,47,16.42,-3.66,64.25,7.63
468,Jiazi,75,CN,1549234800,94,19.61,110.49,71.6,4.47
469,Shirokiy,88,RU,1549238035,98,53.87,39.17,33.38,10.09
470,Ciudad Bolivar,0,VE,1549237807,48,8.12,-63.55,85.76,10.09
471,Katherine,90,AU,1549236600,94,-14.47,132.26,75.2,5.82
472,Bilma,0,NE,1549238036,42,18.69,12.92,53.45,2.93
473,Scottsbluff,40,US,1549234380,50,41.87,-103.67,53.96,6.93
474,Sechura,68,PE,1549238036,72,-5.56,-80.82,78.51,12.21
475,Faanui,92,PF,1549238037,100,-16.48,-151.75,82.16,11.65
476,Umm Kaddadah,0,SD,1549238037,37,13.6,26.69,62.45,7.4
477,Santa Isabel do Rio Negro,12,BR,1549238038,88,-0.41,-65.02,81.21,2.15
478,Dalby,75,AU,1549234800,51,-27.18,151.26,80.6,17.22
479,Miram Shah,68,PK,1549238040,79,33.01,70.07,33.56,4.05
480,Santiago del Estero,0,AR,1549237810,67,-27.8,-64.26,71.31,6.62
481,San Carlos de Bariloche,0,AR,1549234800,18,-41.13,-71.31,82.4,11.41
482,Beinamar,0,TD,1549238041,51,8.67,15.38,68.57,4.94
483,Broken Hill,0,AU,1549234800,26,-31.97,141.45,82.4,14.99
484,Fort Nelson,5,CA,1549234800,63,58.81,-122.69,-9.41,2.24
485,Uchaly,76,RU,1549238042,81,54.32,59.38,2.6,3.38
486,Amantea,75,IT,1549234500,47,39.13,16.07,44.6,6.93
487,Rawson,0,AR,1549238042,24,-43.3,-65.11,80.67,12.77
488,Havre-Saint-Pierre,40,CA,1549234800,65,50.23,-63.6,5.0,10.29
489,Sisimiut,0,GL,1549238043,100,66.94,-53.67,-6.23,2.93
490,Nanortalik,76,GL,1549238043,100,60.14,-45.24,22.71,2.71
491,Baykit,56,RU,1549238044,84,61.68,96.39,-40.25,2.71
492,Kvarkeno,44,RU,1549238044,71,52.08,59.73,-6.09,3.04
493,Richards Bay,56,ZA,1549238044,99,-28.77,32.06,70.73,6.17
494,Dandong,0,CN,1549238045,43,40.12,124.37,8.9,2.71
495,Beringovskiy,36,RU,1549238045,85,63.05,179.32,27.39,9.98
496,Manokwari,48,ID,1549238045,100,-0.87,134.08,81.57,5.61
497,Anito,0,PH,1549238045,94,12.45,125.29,80.0,18.92
498,Itapipoca,56,BR,1549238047,95,-3.5,-39.58,74.33,3.38
499,Prescott,75,US,1549234380,58,34.54,-112.47,50.0,12.75
500,Angouleme,0,FR,1549234800,92,45.65,0.15,30.2,2.24
501,Bonga,0,ET,1549238048,68,7.26,36.25,56.06,1.36
502,San Patricio,44,PY,1549238048,89,-26.98,-56.83,71.49,2.71
503,San Quintin,0,PH,1549238049,78,17.54,120.52,71.72,4.72
504,Shahrud,36,IR,1549238049,89,36.42,54.97,21.86,5.73
505,Le Vauclin,0,MQ,1549236600,73,14.55,-60.84,75.2,3.36
506,Tuban,24,ID,1549238050,92,-6.9,112.07,76.62,4.38
507,Ostrovnoy,0,RU,1549238050,80,68.05,39.51,-12.66,8.75
508,Dudinka,0,RU,1549238050,59,69.41,86.18,-11.81,18.48
509,Noumea,75,NC,1549236600,58,-22.28,166.46,86.0,12.75
510,Masuguru,44,MZ,1549238051,100,-11.38,38.46,72.17,2.82
511,Berlevag,0,NO,1549238051,100,70.86,29.09,9.66,14.45
512,Grand-Lahou,0,CI,1549238051,91,5.24,-5.0,77.75,5.73
513,Sillod,0,IN,1549238052,66,20.3,75.65,60.51,5.73
514,Naze,12,NG,1549238052,90,5.43,7.07,75.81,5.61
515,Paulo Ramos,68,BR,1549238052,90,-4.45,-45.24,78.29,3.38
516,Gondanglegi,56,ID,1549238053,94,-7.75,112.01,74.15,3.83
517,Vestmanna,0,FO,1549236000,86,62.16,-7.17,30.2,10.31
518,Tommot,48,RU,1549238053,63,58.97,126.27,-35.57,4.38
519,Henties Bay,0,NA,1549238054,98,-22.12,14.28,62.49,4.72
520,Mount Isa,90,AU,1549236600,100,-20.73,139.49,71.6,18.34
521,San Joaquin,12,PH,1549238054,74,10.59,122.14,77.3,13.22
522,Dingle,12,PH,1549238054,74,11.0,122.67,77.3,13.22
523,Songjianghe,0,CN,1549238055,50,42.18,127.48,-4.61,3.6
524,Lumut,80,ID,1549238034,98,-8.46,120.34,74.33,4.16
525,Luau,76,CD,1549238055,97,-10.7,22.23,67.13,2.26
526,Tabou,0,CI,1549238056,98,4.42,-7.36,82.29,13.67
527,Eureka,90,US,1549236900,100,40.8,-124.16,48.92,8.05
528,Tornio,90,FI,1549236000,100,61.12,27.27,30.2,11.41
529,Haileybury,90,CA,1549235280,100,47.44,-79.64,12.2,2.24
530,Edd,8,ER,1549238057,87,13.93,41.69,60.38,2.48
531,Kiama,0,AU,1549234800,65,-34.67,150.86,80.6,8.05
532,Estelle,75,US,1549237620,72,32.87,-97.01,73.94,11.41
533,Novikovo,24,UA,1549238058,100,45.05,34.56,36.35,5.61
534,Snezhnogorsk,0,RU,1549236600,61,69.19,33.23,-23.81,3.15
535,Kenai,90,US,1549235340,91,60.55,-151.26,24.08,8.05
536,Hildburghausen,20,DE,1549236000,86,50.43,10.73,28.4,10.29
537,Tagusao,0,PH,1549238059,94,9.19,117.81,76.62,5.61
538,Uporovo,64,RU,1549238059,80,56.31,66.27,-7.85,9.75
539,Ordzhonikidze,20,UA,1549238060,93,44.96,35.36,44.72,8.41
540,Prienai,92,LT,1549236000,100,54.63,23.94,33.8,4.7
541,Galesong,20,ID,1549236600,100,-5.32,119.37,77.0,2.24
542,Turukhansk,20,RU,1549238061,0,65.8,87.96,-39.17,3.15
543,Berezovyy,48,RU,1549238061,66,51.67,135.7,-5.51,2.93
544,Naranjal,75,PY,1549234800,94,-25.97,-55.19,73.4,4.7
545,Jumla,0,NP,1549238062,72,29.28,82.18,5.75,2.59
546,Marfino,90,RU,1549236600,100,56.07,37.56,33.8,6.71
547,Baindur,0,IN,1549238062,100,13.87,74.63,79.55,10.87
548,Saint-Joseph,0,FR,1549236600,80,43.56,6.97,46.4,4.7
549,Belmonte,0,PT,1549238063,74,40.36,-7.35,25.37,2.71
550,Gat,64,SN,1549236600,82,14.69,-16.54,64.4,19.46
551,Dalvik,0,SE,1549236000,92,57.79,14.13,19.4,6.93
552,Kachiry,56,KZ,1549238064,69,53.07,76.1,-15.23,7.52
553,Makat,76,KZ,1549238064,88,47.65,53.35,18.21,3.15
554,Pabna,0,BD,1549237795,90,24.0,89.25,54.35,3.15
555,Porto Novo,40,BR,1549234800,78,-23.68,-45.44,77.0,5.82
556,Kaliyaganj,0,IN,1549238065,72,25.64,88.33,53.36,8.08
